#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"
21800100	10900.050001991256	-114761101.97684681	-114754849.55824712	292.3199648975867	17.13087355068474	0.9988670662109077	0
21800200	10900.100001991266	-114761214.59598243	-114754878.29507396	296.24172304082055	17.134811444138794	0.9986375082671669	1.34
21800300	10900.150001991276	-114760957.28812408	-114754798.2167369	287.95569314421624	17.293622870010324	0.9894667840176097	1.34
21800400	10900.200001991287	-114761195.72680625	-114754848.51156937	296.75200175052663	17.279659483950045	0.9902663545596041	1.34
21800500	10900.250001991297	-114761038.87928316	-114754843.35114992	289.66015911315594	17.274593596992958	0.9905567566105373	1.34
21800600	10900.300001991307	-114760927.29675038	-114754719.3580641	290.2403909662817	17.243795681289924	0.9923259195055874	1.34
21800700	10900.350001991317	-114761005.10706338	-114754703.57812892	294.6160253908583	17.386516643661064	0.9841801987082419	1.34
21800800	10900.400001991327	-114760933.89695585	-114754665.56620613	293.0639072716762	17.438204252197238	0.9812630450779605	1.34
21800900	10900.450001991338	-114761077.98474939	-114754740.97473326	296.27487602301034	17.349284276626882	0.9862922949654601	1.34
21801000	10900.500001991348	-114761112.85867266	-114754747.8276042	297.58494714217323	17.264228207897045	0.991151483816423	1.34
21801100	10900.550001991358	-114760875.04595838	-114754873.32459192	280.5990915664775	17.23476102180472	0.9928461081388811	1.34
21801200	10900.600001991368	-114761008.11671701	-114754828.85329217	288.8997335415637	17.28197280546043	0.99013379999047	1.34
21801300	10900.650001991378	-114761163.42686296	-114754907.55493061	292.48141891115966	17.275411766724435	0.9905098434853098	1.34
21801400	10900.700001991388	-114761133.85613967	-114754975.25795205	287.93356959687486	17.189910501176694	0.9954365616988626	1.34
21801500	10900.750001991399	-114761217.89608516	-114754985.66035554	291.3763531128918	17.165436542537048	0.9968558249479527	1.34
21801600	10900.800001991409	-114761156.54121614	-114754993.51655431	288.14052099634677	17.162773984800626	0.9970104728033146	1.34
21801700	10900.850001991419	-114761237.18090402	-114754969.60880964	293.0284377806888	17.168237961958525	0.9966931634520781	1.34
21801800	10900.90000199143	-114761172.31560704	-114754960.96784438	290.39977586142624	17.266257762405715	0.9910349793607132	1.34
21801900	10900.95000199144	-114761140.51143032	-114754972.60677575	288.3686757960403	17.262619306203348	0.9912438606030934	1.34
21802000	10901.00000199145	-114761201.66098188	-114754991.30147956	290.35357162477356	17.262619306203348	0.9912438606030934	1.34
21802100	10901.05000199146	-114761192.5518971	-114754993.71372783	289.814913565209	17.26143639878291	0.9913117894643471	1.34
21802200	10901.10000199147	-114761144.30229189	-114754978.74689047	288.2588409230378	17.26143639878291	0.9913117894643471	1.34
21802300	10901.15000199148	-114761180.30295736	-114755013.51059425	288.3166727190155	17.27084797548946	0.9907715839712589	1.34
21802400	10901.20000199149	-114761166.7970741	-114754933.61060609	291.4208030814348	17.301600823612446	0.9890105302770332	1.34
21802500	10901.2500019915	-114761022.01821199	-114754940.7480204	284.31824590649484	17.301600823612446	0.9890105302770332	1.34
21802600	10901.30000199151	-114761142.07885392	-114754905.56298691	291.5764628128286	17.283524839112943	0.9900448875150126	1.34
