#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"
2000100	1000.0499999798079	-578733.9454010378	-572305.8444890095	300.53365797548804	14.443569213214726	1.184711697822368	0
2000200	1000.0999999798067	-578849.4176923002	-572239.2747205631	309.0446889717926	14.471897392460834	1.1823926705088963	0.0372
2000300	1000.1499999798056	-578649.8275494119	-572266.3503290619	298.4473619642752	14.46766615140972	1.1827384753093138	0.0372
2000400	1000.1999999798044	-578719.7562790414	-572289.8231073045	300.6193218006368	14.46766615140972	1.1827384753093138	0.0372
2000500	1000.2499999798032	-578644.4362769026	-572301.7038461888	296.54241665609663	14.46766615140972	1.1827384753093138	0.0372
2000600	1000.299999979802	-578705.9304216647	-572362.9276214222	296.5550572702721	14.450036955476783	1.1841814285960697	0.0372
2000700	1000.3499999798008	-578817.0618122979	-572306.1955248782	304.4031960179833	14.471912749220014	1.1823914158219857	0.0372
2000800	1000.3999999797996	-578656.7076360575	-572293.3529260173	297.506572186107	14.479882232722584	1.1817406474848873	0.0372
2000900	1000.4499999797985	-578618.0006331052	-572328.0519252182	294.0746138758072	14.546924094582748	1.1762944038165968	0.0372
2001000	1000.4999999797973	-578680.7201029307	-572255.9580635129	300.37755532356806	14.546924094582748	1.1762944038165968	0.0372
2001100	1000.5499999797961	-578727.541267739	-572374.3407933781	297.0318301690819	14.517254899680625	1.1786984194635135	0.0372
2001200	1000.5999999797949	-578802.9752548187	-572358.7979361373	301.2852798564543	14.532179203810966	1.1774879159703133	0.0372
2001300	1000.6499999797937	-578662.8628265756	-572375.1368124973	293.9706960453312	14.532179203810966	1.1774879159703133	0.0372
2001400	1000.6999999797926	-578654.8414812046	-572417.8558889515	291.5984239253024	14.504260973724723	1.1797543795027456	0.0372
2001500	1000.7499999797914	-578702.2410428486	-572345.5818464381	297.1935361540481	14.563337186446905	1.1749687029925369	0.0372
2001600	1000.7999999797902	-578878.8265154043	-572339.4373024558	305.7367312662049	14.501887540087573	1.1799474625562552	0.0372
2001700	1000.849999979789	-578774.7392333953	-572357.9907605775	300.00289622647796	14.501887540087573	1.1799474625562552	0.0372
2001800	1000.8999999797878	-578527.4780515675	-572322.365431774	290.1082635910228	14.558489581690472	1.1753599375255788	0.0372
2001900	1000.9499999797866	-578768.4069982979	-572355.4334586367	299.82640639134434	14.482752780890879	1.1815064210569175	0.0372
2002000	1000.9999999797855	-578777.0394457611	-572339.8754713592	300.95738425559256	14.482752780890879	1.1815064210569175	0.0372
2002100	1001.0499999797843	-578566.7222267116	-572298.9869902463	293.0360651793782	14.474321144463	1.182194676656619	0.0372
2002200	1001.0999999797831	-578723.9703085478	-572298.6265254043	300.40475364735454	14.404947829284449	1.1878880512441603	0.0372
2002300	1001.1499999797819	-578777.6647897126	-572301.0774075196	302.8005508635069	14.462003899143632	1.1832015483148748	0.0372
2002400	1001.1999999797807	-578675.2916951348	-572277.9878390846	299.0938000742751	14.385660439107701	1.189480696950461	0.0372
2002500	1001.2499999797795	-578891.0234633298	-572280.8646223601	309.0454309076461	14.32988033766926	1.1941108370752567	0.0372
2002600	1001.2999999797784	-578826.6717916493	-572341.5296738027	303.2005112925917	14.32988033766926	1.1941108370752567	0.0372
2002700	1001.3499999797772	-578896.0739153766	-572403.9460464875	303.5271168240202	14.32988033766926	1.1941108370752567	0.0372
2002800	1001.399999979776	-578614.5874110141	-572297.7329573801	295.3325409526481	14.437425223381323	1.1852158636631818	0.0372
2002900	1001.4499999797748	-578464.1828033511	-572277.3775442746	289.25233768702094	14.506578915398311	1.1795658718017368	0.0372
2003000	1001.4999999797736	-578433.1520281292	-572216.9341164347	290.627470436649	14.510494189384787	1.179247597074982	0.0372
