#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"
21600100	10800.050001970883	-578288.9375	-572046.7776781698	291.84033520878603	14.720125013078196	1.1624538100049897	0
21600200	10800.100001970894	-578583.6875	-572094.6540511802	303.3824430867182	14.720125013078196	1.1624538100049897	0.194
21600300	10800.150001970904	-578402.0	-572195.274946095	290.18364988760237	14.62701814925482	1.1698532968644912	0.194
21600400	10800.200001970914	-578562.8125	-572263.360267823	294.51893311684637	14.541858332650754	1.1767041745127047	0.193
21600500	10800.250001970924	-578555.75	-572251.8031454335	294.72907065613197	14.541858332650754	1.1767041745127047	0.193
21600600	10800.300001970934	-578603.5	-572259.0221462353	296.6240205981302	14.541858332650754	1.1767041745127047	0.192
21600700	10800.350001970945	-578683.0	-572289.5315303456	298.91448386268337	14.480134868636704	1.1817200295741122	0.192
21600800	10800.400001970955	-578657.25	-572276.1626884347	298.3356263149537	14.480134868636704	1.1817200295741122	0.192
21600900	10800.450001970965	-578616.1875	-572185.413239133	300.65864532657696	14.583227754228126	1.1733661226158496	0.192
21601000	10800.500001970975	-578553.8125	-572124.8247176985	300.5751219118783	14.583227754228126	1.1733661226158496	0.192
21601100	10800.550001970985	-578415.75	-572085.1798740417	295.97379118061417	14.659910896447386	1.1672284726743605	0.192
21601200	10800.600001970995	-578444.5625	-572137.0468895672	294.8959210633679	14.659910896447386	1.1672284726743605	0.192
21601300	10800.650001971006	-578429.1875	-572161.4010062191	293.03846161788795	14.65416408630978	1.1676862156326189	0.192
21601400	10800.700001971016	-578322.625	-572086.8105895696	291.54366754201544	14.619394434768092	1.1704633513757399	0.192
21601500	10800.750001971026	-578659.5625	-572060.5218248414	308.5256221667883	14.554561450711851	1.175677155450506	0.192
21601600	10800.800001971036	-578601.5	-572150.1065476305	301.622656491236	14.468944309562481	1.1826339945128952	0.192
21601700	10800.850001971046	-578539.25	-572119.3024127147	300.1524647516698	14.603541553657347	1.1717339483939815	0.192
21601800	10800.900001971057	-578470.375	-572161.489888186	294.95994950121116	14.603541553657347	1.1717339483939815	0.192
21601900	10800.950001971067	-578635.0625	-572145.6204954298	303.40154433540766	14.537863261063723	1.1770275382236928	0.192
21602000	10801.000001971077	-578602.125	-572235.5891754678	297.6552991566026	14.43411971783291	1.185487285661197	0.192
21602100	10801.050001971087	-578783.625	-572345.1864746488	301.01697346620614	14.416737501023272	1.1869166240966766	0.192
21602200	10801.100001971097	-578549.0625	-572376.4708456043	288.5878075767733	14.396388679568032	1.1885942916703702	0.192
21602300	10801.150001971107	-578719.5625	-572386.4415694266	296.093049209115	14.436009754196705	1.1853320755915955	0.192
21602400	10801.200001971118	-578915.0	-572372.8099435198	305.86767938969234	14.40014041814129	1.1882846214225442	0.192
21602500	10801.250001971128	-578607.75	-572309.682214035	294.4542059618075	14.49700988182659	1.1803444672168832	0.192
21602600	10801.300001971138	-578918.125	-572318.5168510483	308.5521533269529	14.454517217037548	1.1838143846847549	0.192
21602700	10801.350001971148	-578675.0625	-572319.1694130251	297.15771816141944	14.377711094060317	1.1901383532648353	0.192
21602800	10801.400001971158	-578690.625	-572238.0850682377	301.6762579592923	14.373300833049003	1.1905035317884356	0.192
21602900	10801.450001971169	-578802.75	-572232.7193645977	307.1693128173738	14.373300833049003	1.1905035317884356	0.192
21603000	10801.500001971179	-578639.6875	-572282.4024994636	297.22279443821515	14.373300833049003	1.1905035317884356	0.192
21603100	10801.550001971189	-578695.5625	-572277.8672562005	300.04716070681025	14.391524506504462	1.188996023143255	0.192
21603200	10801.6000019712	-578811.75	-572358.3432987372	301.71678212221207	14.3807503416231	1.1898868277878187	0.191
21603300	10801.65000197121	-578724.25	-572315.5783536902	299.6252795324484	14.465493916965945	1.1829160831579495	0.191
21603400	10801.70000197122	-578678.5625	-572399.2235943485	293.57857270908147	14.40779196279443	1.1876535592261346	0.191
21603500	10801.75000197123	-578663.5625	-572394.7874600146	293.08467921947624	14.40779196279443	1.1876535592261346	0.191
21603600	10801.80000197124	-578541.0	-572415.1629222152	286.40188608482975	14.376970806530588	1.1901996349209945	0.191
21603700	10801.85000197125	-578706.8125	-572402.2273983038	294.7589106893243	14.428920790047828	1.1859144321455368	0.191
21603800	10801.90000197126	-578840.4375	-572496.6094982169	296.59363800211713	14.400144517861301	1.1882842831180058	0.191
21603900	10801.95000197127	-578859.0625	-572497.2844544476	297.4328582303998	14.418052131480144	1.1868084016593061	0.191
21604000	10802.00000197128	-578742.25	-572553.9219051824	289.323534981837	14.360131819459168	1.1915952875874751	0.191
21604100	10802.05000197129	-578923.6875	-572453.6427399677	302.49466298189975	14.33651051957387	1.1935585986450425	0.191
21604200	10802.100001971301	-578748.25	-572354.2634231087	298.93870698320154	14.348111690895601	1.1925935463730988	0.191
21604300	10802.150001971311	-578552.0625	-572354.8469551539	289.73905084005446	14.290762503455369	1.197379454109962	0.191
21604400	10802.200001971321	-578928.5625	-572354.4912637527	307.3582234410545	14.37381282394433	1.1904611264102247	0.191
21604500	10802.250001971332	-578816.1875	-572511.4469833735	294.7661768194241	14.369263180533851	1.1908380541309544	0.191
21604600	10802.300001971342	-578765.875	-572494.6694200197	293.1983145039092	14.316969547465073	1.195187665132124	0.191
21604700	10802.350001971352	-578826.875	-572539.8326924496	293.9387306442534	14.393464694848902	1.1888357506671976	0.191
21604800	10802.400001971362	-578762.125	-572476.4087045059	293.8767354672547	14.417123505668313	1.1868848455432088	0.191
21604900	10802.450001971372	-578705.9375	-572491.1911540008	290.55867017551196	14.438440143053112	1.1851325514159148	0.191
21605000	10802.500001971383	-578790.1875	-572541.7361080131	292.13448563042573	14.465923111498002	1.1828809868069694	0.191
21605100	10802.550001971393	-578612.25	-572523.6609267043	284.660426329518	14.465923111498002	1.1828809868069694	0.191
21605200	10802.600001971403	-578713.6875	-572512.9953454054	289.9015931304362	14.465923111498002	1.1828809868069694	0.191
21605300	10802.650001971413	-578657.125	-572442.4204554812	290.55671582663103	14.533638928853863	1.177369651810383	0.191
21605400	10802.700001971423	-578788.75	-572478.7875997537	295.01031607723036	14.475668347560223	1.1820846536655092	0.191
