#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"
21000100	10500.050001909765	-578131.212638512	-571686.517292934	301.30949922082124	15.414197138093726	1.1101107149404652	0
21000200	10500.100001909776	-578093.6356855441	-571682.7094011317	299.73069085776245	15.414197138093726	1.1101107149404652	0.195
21000300	10500.150001909786	-578111.792956559	-571731.7198807884	298.288207645336	15.461854690793325	1.1066890581626943	0.195
21000400	10500.200001909796	-578154.6648469457	-571804.0103399483	296.91279829709475	15.490796559664496	1.1046214014428388	0.195
21000500	10500.250001909806	-578141.0995595241	-571768.270025451	297.949549601092	15.468528117078192	1.1062116108067455	0.195
21000600	10500.300001909816	-578227.9286080269	-571845.2182545401	298.4115085595545	15.380664195740895	1.1125309796400658	0.195
21000700	10500.350001909826	-578072.0423689358	-571763.3813296194	294.9494734168567	15.446032677331075	1.1078226857771478	0.195
21000800	10500.400001909837	-577922.5428340796	-571661.8943691815	292.7047366250446	15.440852938264118	1.1081943124267717	0.195
21000900	10500.450001909847	-578059.9107688693	-571604.92354818	301.7906763082643	15.418083328138028	1.1098309070605454	0.195
21001000	10500.500001909857	-578129.1874856248	-571692.6675077826	300.9272754187104	15.394981180101384	1.1114963509874076	0.195
21001100	10500.550001909867	-578107.9785031728	-571762.62045591	296.6651723745784	15.242067210611028	1.1226472871927804	0.195
21001200	10500.600001909877	-578119.4645330065	-571783.715841025	296.21590520641115	15.242067210611028	1.1226472871927804	0.195
21001300	10500.650001909888	-578090.6662383972	-571780.9764264922	294.997571726689	15.228919748286488	1.1236164933581603	0.195
21001400	10500.700001909898	-578032.8053149558	-571728.7976833653	294.73191217053636	15.19107108464285	1.126415991990258	0.195
21001500	10500.750001909908	-578086.6173809135	-571708.2381451486	298.2090153706758	15.276362622672565	1.120126945651732	0.195
21001600	10500.800001909918	-578183.7264810719	-571707.2671949824	302.7945619733033	15.315254875612473	1.117282444476341	0.195
21001700	10500.850001909928	-577966.8402437117	-571648.4049063011	295.40645217319957	15.290821580901815	1.1190677567368037	0.195
21001800	10500.900001909939	-577832.1322320477	-571593.1542508431	291.6915742892862	15.344419452572541	1.1151588665893586	0.195
21001900	10500.950001909949	-578034.3137085553	-571594.2597659413	301.0924992343542	15.344419452572541	1.1151588665893586	0.194
21002000	10501.000001909959	-578120.1651924117	-571706.7175796088	299.84857078132717	15.344419452572541	1.1151588665893586	0.194
21002100	10501.050001909969	-578258.7980675946	-571710.4264443148	306.1566868131517	15.344419452572541	1.1151588665893586	0.194
21002200	10501.10000190998	-577943.4574374896	-571745.5262278222	289.7725103904839	15.432281182292671	1.1088098514454598	0.194
21002300	10501.15000190999	-578028.9400989352	-571785.4790592567	291.9011711796426	15.370720342400425	1.1132507146070567	0.194
21002400	10501.20000191	-578130.9279021272	-571748.6844547448	298.3896792508022	15.329229818481394	1.116263870254746	0.194
21002500	10501.25000191001	-578010.1250958813	-571794.4983623241	290.59983102485756	15.329229818481394	1.116263870254746	0.194
21002600	10501.30000191002	-578033.6247183881	-571768.6078123293	292.90897480045913	15.412864310456797	1.1102067117786338	0.194
21002700	10501.35000191003	-578109.8587092503	-571671.3015519769	301.02251987656757	15.460441547334414	1.1067902137732117	0.194
21002800	10501.40000191004	-578329.2770215814	-571751.4765684434	307.53257589894065	15.34967508085164	1.1147770434925135	0.194
21002900	10501.45000191005	-578090.542188377	-571787.8300421105	294.6713442129698	15.308826035791716	1.1177516398185108	0.194
21003000	10501.50000191006	-578330.2217225905	-571827.4827283531	304.02321985037577	15.279962874102253	1.1198630223247747	0.194
21003100	10501.550001910071	-578300.3953572077	-571915.621595261	298.5079793058663	15.22882821184967	1.123623247118116	0.194
21003200	10501.600001910081	-578242.6845406565	-571906.2694118748	296.24706319414236	15.26671969694674	1.120834451989362	0.194
21003300	10501.650001910091	-578060.7602533383	-571950.3601552502	285.6801593976102	15.26671969694674	1.120834451989362	0.194
21003400	10501.700001910101	-578209.943875886	-571923.7136547592	293.9007630848098	15.265541458481296	1.1209209612211715	0.194
21003500	10501.750001910112	-578292.949731737	-571925.9592867201	297.6765540745262	15.228248224067562	1.1236660417813913	0.194
21003600	10501.800001910122	-578170.6034847113	-571838.9385795335	296.02497550519325	15.320117565248575	1.116927812879017	0.194
