#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"
20600100	10300.05000186902	-23160.154898045264	-18941.476475551517	295.9407343489387	17.31601942504564	0.9881911755889297	0
20600200	10300.10000186903	-23410.827812144533	-18979.022920160307	310.89157856448935	17.338062299749897	0.9869348313740589	344
20600300	10300.15000186904	-23475.646382484454	-19015.016150592215	312.9136791860371	17.299197088687702	0.9891521267970395	338
20600400	10300.20000186905	-23421.45759115729	-18961.461768126792	312.86917533776557	17.299197088687702	0.9891521267970395	343
20600500	10300.25000186906	-23341.702907778512	-18978.35495957904	306.08931676920207	17.235720859180468	0.9927950059043958	342
20600600	10300.300001869071	-23280.480997938503	-18895.499687676675	307.6068993896346	17.190490814950493	0.9954071571519508	344
20600700	10300.350001869081	-23154.49378966607	-18823.521537145753	303.81815831747963	17.22563824278588	0.9933761147760621	345
20600800	10300.400001869091	-23198.312265389453	-18874.32761938021	303.32797698694657	17.12955483510608	0.9989481779811019	343
20600900	10300.450001869101	-23498.788622609514	-18885.83123073505	323.5994454549391	17.18346320180182	0.9958142541581672	344
20601000	10300.500001869112	-23207.917836788416	-18934.00904669897	299.81515043561717	17.18346320180182	0.9958142541581672	344
20601100	10300.550001869122	-23273.705453813556	-18920.51649691142	305.37666246288023	17.309156523289886	0.9885829831819134	344
20601200	10300.600001869132	-23368.236291690395	-18936.253640232666	310.90404841022234	17.158825589834564	0.9972441005690978	274
20601300	10300.650001869142	-23306.866573395062	-18912.40293194814	308.2720859180257	17.078696469762953	1.0019229290977671	279
20601400	10300.700001869152	-23426.54268596141	-18965.74137412359	312.92568046218497	17.078696469762953	1.0019229290977671	283
20601500	10300.750001869163	-23184.63148066253	-18930.258148244804	298.4447360284925	17.25758025322856	0.9915374775067526	287
20601600	10300.800001869173	-23164.289257921526	-18858.570619924474	302.04661460674487	17.1424979605079	0.9981939406717368	290
20601700	10300.850001869183	-23191.370744610365	-18933.155259951847	298.7142634116553	16.984534112603924	1.0074775957180022	294
20601800	10300.900001869193	-23146.53333825592	-18854.69426683402	301.0729615539798	16.95634582824134	1.009152429744431	296
20601900	10300.950001869203	-23398.004964652806	-18864.014926534623	318.0598772964324	16.95244381371577	1.0093847105579021	299
20602000	10301.000001869214	-23159.25328700569	-18855.898860368892	301.8807649315531	17.131085161337467	0.9988589415675202	301
20602100	10301.050001869224	-23245.45753464008	-18921.15976619094	303.3499425589868	17.253590202530937	0.991766779626335	303
20602200	10301.100001869234	-23169.53401777624	-18881.490923131325	300.80667338445204	17.20568883715079	0.9945279002842998	306
20602300	10301.150001869244	-23284.121022345324	-18925.441946625426	305.7617948744733	17.260968524030897	0.9913428419925413	307
20602400	10301.200001869254	-23293.641613737607	-18868.881996153512	310.39735182548316	17.322620683775398	0.9878145982947888	309
20602500	10301.250001869264	-23253.47919528671	-18799.681826989807	312.43435308729295	17.54544145727139	0.975269709447238	310
20602600	10301.300001869275	-23231.846285281426	-18759.148273828454	313.7602351894819	17.479122971344722	0.9789700330050455	312
20602700	10301.350001869285	-23123.245148711678	-18839.075425538802	300.53495596893885	17.581148155285344	0.9732889707213135	314
20602800	10301.400001869295	-23162.541445713287	-18865.290691609283	301.45259166242	17.633178025152805	0.9704171061931025	315
20602900	10301.450001869305	-23178.0504783831	-18827.186929394935	305.21353485351955	17.585154463653417	0.9730672327914014	316
